1512654,Phan Thanh Tùng,Công nghệ thông tin,2015,14/03/1997,ptt@gmail.com,1512654.jpg,Đại ca của lớp,âm nhạc:EDM
1512655,Nguyễn Văn Tuấn,Công nghệ thông tin,2015,1/1/1997,nguyenvanb10.@gmail.com,1512655.jpg,Xấu trai học dốt,game: bắn súng
1512656,Trần Văn,Công nghệ thông tin,2015,2/02/1997,trvd@gmail.com,1512656.jpg,Thật thà thánh thiện,âm nhạc:trịnh công sơn
1512657,Lê Ngọc Nữ,Công nghệ thông tin,2015,12/03/1997,lnbh@gmail.com,1512657.jpg,Trong sáng đến ngở ngàng,ẩm thực:bún đậu mắm tôm
1512658,Nguyễn Lan Hương,Công nghệ thông tin,2015,15/03/1997,nla@gmail.com,1512658.jpg,Điên đến lạ lùng rất chân thật,âm nhạc:POP
1512659,Quách Tĩnh,Công nghệ thông tin,2015,16/031997,qkh@gmail.com,1512659.jpg,Đẹp trai hát hay chung tình ,moto:ducaty
1512660,Trần Tùng,Công nghệ thông tin,2015,17/03/1997,thn@gamil.com,1512660.jpg,Đại ca nhất hcmus hổ báo nhất trường mẫu giáo,phim:kiếm hiệp
1512661,Châu Kiệt Quệ,Công nghệ thông tin,2014,18/03/1997,ckl@gmail.com,1512661.jpg,Tuy học dốt nhưng năng nổ trong mọi hoạt động,Truyện:Naruto
1512662,Phạm Diễm,Công nghệ thông tin,2015,19/03/1997,ph@gmail.com,1512662.jpg,Đẹp nhưng hơi khùng điên từng là hoa khôi của làng,Múa:Bale
1512663,Đinh Công Mạnh,Công nghệ thông tin,2015,20/03/1997,dlt@gmail.com,1512663.jpg,Mạnh mẽ cương quyết có tài lãnh đạo nói là làm,Ca nhạc:ca trù, Thích chơi game, Bắn súng
